id_producto,sku,nombre_producto,categoria,subcategoria,marca,precio_lista,costo_unitario,stock,estado_producto,fecha_creacion
1,SKU-16416,Carlos Pudo,Electrónica,Computación,Sony,1203.57,801.99,185,activo,2024-05-26
2,SKU-33985,Dicen Siendo,Moda,Ropa,Xiaomi,658.03,388.34,40,inactivo,2024-07-22
3,SKU-68720,Lejos Debido,Deportes,Accesorios,Lenovo,338.59,244.7,39,descontinuado,2026-01-24
4,SKU-27631,Resulta Casa,Electrónica,Telefonía,Adidas,297.3,214.56,179,descontinuado,2024-06-09
5,SKU-52043,Puerta Cantidad,Hogar,Cocina,LG,226.49,117.56,78,descontinuado,2025-05-15
6,SKU-01745,Porque Peso,Electrónica,Audio,Whirlpool,745.22,532.13,296,inactivo,2026-03-01
7,SKU-11851,Respecto Prueba,Oficina,Tecnología,Whirlpool,1479.91,833.37,161,activo,2025-01-31
8,SKU-89840,Operación Visita,Moda,Ropa,Nike,667.77,371.27,140,descontinuado,2025-01-02
9,SKU-69714,Situación Sigue,Electrónica,Computación,Adidas,118.69,72.59,19,activo,2025-01-24
10,SKU-26641,Buenos Trabajo,Deportes,Outdoor,LG,969.84,768.19,46,descontinuado,2024-12-14
11,SKU-17708,Aún Don,Oficina,Tecnología,Ikea,698.37,449.76,21,inactivo,2024-04-19
12,SKU-02725,Superior Metros,Oficina,Tecnología,Xiaomi,487.72,300.66,77,activo,2024-07-21
13,SKU-06284,Proyectos Tenía,Moda,Ropa,Lenovo,1473.72,706.67,88,activo,2025-07-12
14,SKU-34098,Última Material,Hogar,Muebles,Nike,1486.55,941.62,81,inactivo,2025-11-07
15,SKU-91131,Cinco Vez,Deportes,Outdoor,Ikea,617.88,351.22,26,descontinuado,2024-04-19
16,SKU-50111,Llegado Puntos,Deportes,Fitness,Lenovo,149.0,102.43,145,inactivo,2026-03-19
17,SKU-10924,Lado Buscar,Oficina,Papelería,Lenovo,129.6,88.42,179,inactivo,2024-11-05
18,SKU-26359,Siguiente Hasta,Moda,Ropa,Mabe,1065.58,511.11,286,inactivo,2025-11-05
19,SKU-53918,Etapa Problema,Deportes,Fitness,Whirlpool,1056.62,825.74,269,activo,2025-11-20
20,SKU-91343,Ahora Volvió,Moda,Accesorios,Lenovo,35.2,19.65,109,inactivo,2024-04-09
21,SKU-05985,Decía Humanos,Moda,Ropa,Xiaomi,1499.97,756.33,151,activo,2025-10-25
22,SKU-85833,Al Media,Oficina,Tecnología,Genérica,1326.45,614.43,172,descontinuado,2025-04-13
23,SKU-15167,Construcción Cerca,Hogar,Muebles,Ikea,238.15,122.24,84,descontinuado,2025-08-20
24,SKU-73695,Ahí Esta,Moda,Ropa,Ikea,551.53,387.09,227,descontinuado,2025-05-22
25,SKU-27738,Ayuda Campo,Deportes,Accesorios,Nike,357.13,190.6,240,activo,2024-07-22
26,SKU-21260,Ningún Ante,Deportes,Accesorios,Mabe,1476.78,903.18,144,inactivo,2024-07-14
27,SKU-68206,Energía Mucha,Oficina,Tecnología,Ikea,1449.67,1066.83,70,inactivo,2024-04-30
28,SKU-02045,Sistemas Muy,Electrónica,Telefonía,Nike,1312.18,845.16,52,descontinuado,2025-08-01
29,SKU-33012,Central Parecía,Oficina,Papelería,HP,133.14,67.38,230,descontinuado,2025-07-25
30,SKU-43068,Grande Recuerdo,Hogar,Decoración,LG,1420.05,749.38,230,inactivo,2025-08-22
31,SKU-34245,G Premio,Electrónica,Computación,Samsung,599.51,348.25,197,activo,2025-09-11
32,SKU-46849,Ni Causa,Deportes,Fitness,Samsung,483.48,234.33,171,activo,2025-10-07
33,SKU-78302,Estado Se,Hogar,Cocina,HP,1376.76,847.2,71,descontinuado,2025-02-19
34,SKU-27851,Me Debe,Moda,Calzado,Mabe,15.83,7.56,131,activo,2024-06-03
35,SKU-11569,Capacidad Pedro,Hogar,Muebles,Genérica,916.45,548.16,147,activo,2024-04-24
36,SKU-16566,Región Tema,Deportes,Fitness,Samsung,363.75,245.03,234,activo,2025-06-08
37,SKU-94315,Programa Primer,Electrónica,Computación,Mabe,807.79,542.18,294,activo,2025-09-23
38,SKU-62058,Rafael Sol,Hogar,Decoración,Ikea,10.33,5.92,292,inactivo,2025-08-15
39,SKU-63746,Perdido Así,Hogar,Muebles,Whirlpool,135.74,107.39,34,descontinuado,2024-12-17
40,SKU-92005,Posibilidades Título,Oficina,Tecnología,Adidas,834.79,489.74,240,activo,2026-01-07
41,SKU-48682,Todos Hasta,Moda,Calzado,HP,1123.0,645.71,34,inactivo,2024-04-07
42,SKU-01196,Visita Toda,Hogar,Muebles,Whirlpool,945.36,680.68,170,activo,2026-02-14
43,SKU-19153,Universidad Sola,Electrónica,Computación,Adidas,513.11,346.34,237,descontinuado,2025-07-18
44,SKU-76878,Consumo Datos,Moda,Accesorios,Sony,1218.75,575.35,234,activo,2025-10-14
45,SKU-25163,Hacerlo Pasar,Deportes,Fitness,Samsung,1188.33,903.16,161,inactivo,2024-08-28
46,SKU-77947,Cuarto Fiscal,Oficina,Mobiliario,Adidas,714.31,330.6,97,inactivo,2024-08-10
47,SKU-92984,Mismo Sé,Deportes,Fitness,Whirlpool,503.23,248.38,188,inactivo,2025-05-06
48,SKU-69535,Quiero Bien,Moda,Accesorios,Nike,1342.8,785.98,95,inactivo,2025-03-21
49,SKU-03285,Cara Buscar,Moda,Calzado,Adidas,405.95,194.42,217,activo,2025-01-11
50,SKU-69664,Vía Estados,Moda,Accesorios,Sony,821.85,462.23,40,inactivo,2026-01-13
51,SKU-63758,Autoridades Oposición,Deportes,Outdoor,Nike,907.11,543.49,227,inactivo,2024-04-25
52,SKU-68289,Usted Debe,Moda,Ropa,Genérica,1306.1,748.91,222,inactivo,2024-09-09
53,SKU-44478,Fuera Constitución,Electrónica,Audio,Whirlpool,959.17,553.59,81,activo,2025-04-18
54,SKU-99523,Difícil Cámara,Hogar,Muebles,Whirlpool,1173.72,542.47,34,activo,2025-06-26
55,SKU-07590,Abril Pensar,Deportes,Outdoor,Ikea,1424.6,657.22,78,descontinuado,2026-01-10
56,SKU-40598,Alta Pregunta,Moda,Calzado,Lenovo,670.36,319.7,70,descontinuado,2025-12-29
57,SKU-69095,Ciudad Capital,Deportes,Outdoor,Lenovo,977.14,525.08,58,activo,2025-08-27
58,SKU-01183,Mujeres Políticos,Hogar,Decoración,Adidas,585.39,378.5,134,inactivo,2025-04-19
59,SKU-37727,Medidas Local,Moda,Ropa,Mabe,434.08,334.57,251,activo,2026-01-05
60,SKU-03854,Señor Ayer,Electrónica,Audio,LG,682.45,521.76,227,activo,2024-05-08
61,SKU-26193,Estos Paciente,Deportes,Accesorios,Lenovo,1066.63,685.31,148,inactivo,2024-08-06
62,SKU-01417,Dicho Aire,Hogar,Muebles,Genérica,1391.57,936.8,185,descontinuado,2025-04-24
63,SKU-36980,Especial Importantes,Hogar,Cocina,Xiaomi,1189.76,633.97,252,activo,2026-02-09
64,SKU-73623,Voy Millones,Deportes,Accesorios,Mabe,558.42,408.36,282,activo,2026-01-30
65,SKU-69799,Humano Ocasión,Oficina,Papelería,LG,469.46,375.5,245,descontinuado,2026-03-08
66,SKU-71242,Tuvo Años,Moda,Calzado,Mabe,118.04,93.29,37,inactivo,2025-12-16
67,SKU-40661,Seguridad Aumento,Moda,Accesorios,Adidas,522.02,395.32,282,descontinuado,2024-04-19
68,SKU-56101,Esto Mayoría,Oficina,Papelería,Sony,653.47,502.35,28,activo,2024-08-28
69,SKU-24615,Unos Noche,Oficina,Papelería,HP,253.67,142.8,115,inactivo,2026-02-23
70,SKU-76447,Pero Humana,Oficina,Mobiliario,LG,381.9,256.74,282,inactivo,2025-08-23
71,SKU-28328,Hombre Proyectos,Hogar,Muebles,HP,924.73,446.37,86,descontinuado,2026-01-31
72,SKU-13481,Meses Demasiado,Oficina,Papelería,Sony,990.83,695.78,172,descontinuado,2024-12-02
73,SKU-05377,Están Ello,Electrónica,Audio,LG,75.83,51.15,295,inactivo,2025-12-31
74,SKU-17206,Ver Siendo,Hogar,Muebles,Ikea,930.22,428.46,279,inactivo,2024-06-18
75,SKU-86409,Persona Aspecto,Deportes,Outdoor,Xiaomi,1208.59,833.62,152,inactivo,2025-07-13
76,SKU-00087,Acción Día,Electrónica,Telefonía,Samsung,243.86,145.21,237,activo,2026-01-31
77,SKU-45320,Fin Pueblo,Deportes,Accesorios,Sony,474.37,332.74,176,inactivo,2024-11-28
78,SKU-29984,Marzo Llegado,Hogar,Decoración,Adidas,845.98,475.18,238,activo,2025-08-27
79,SKU-69254,Dicen Padres,Deportes,Outdoor,Xiaomi,218.19,102.05,196,descontinuado,2025-02-01
80,SKU-90511,Historia Edad,Moda,Ropa,Sony,1221.71,949.04,160,activo,2025-04-04
81,SKU-10589,Texto Posibilidad,Hogar,Decoración,Adidas,704.49,533.78,254,activo,2026-01-25
82,SKU-02540,Norte Muy,Electrónica,Computación,Adidas,690.19,368.74,298,inactivo,2025-07-10
83,SKU-36103,La Cine,Electrónica,Audio,HP,746.38,566.37,240,inactivo,2025-01-21
84,SKU-45144,Causa Distintos,Oficina,Papelería,LG,650.94,493.97,187,inactivo,2025-03-04
85,SKU-67226,Éxito Decía,Deportes,Fitness,Ikea,84.33,54.53,185,descontinuado,2024-11-05
86,SKU-21474,Entre Aumento,Deportes,Fitness,Ikea,760.35,545.58,143,descontinuado,2025-12-05
87,SKU-59837,Metros Lo,Oficina,Papelería,Sony,1462.82,859.94,173,descontinuado,2024-10-31
88,SKU-71198,Propuesta Artículo,Deportes,Fitness,Xiaomi,906.87,535.49,20,activo,2025-11-06
89,SKU-27864,Cierta Amor,Electrónica,Audio,Genérica,504.9,310.92,233,activo,2026-03-05
90,SKU-76903,Tenido Queda,Oficina,Tecnología,Sony,497.33,330.51,83,inactivo,2026-03-07
91,SKU-27454,Resulta Sabía,Oficina,Tecnología,HP,893.84,560.94,260,descontinuado,2025-11-05
92,SKU-96531,Zonas Esfuerzo,Moda,Accesorios,Mabe,455.29,334.87,188,inactivo,2026-02-25
93,SKU-39211,Color Grado,Electrónica,Computación,Mabe,467.06,357.1,13,descontinuado,2025-07-07
94,SKU-42503,Importantes Sueño,Moda,Calzado,Whirlpool,1176.09,848.73,295,activo,2025-07-22
95,SKU-70619,Propio Tenían,Electrónica,Telefonía,Nike,262.4,175.85,194,activo,2024-10-13
96,SKU-31744,Número Población,Hogar,Cocina,Mabe,1422.72,694.95,9,inactivo,2024-04-17
97,SKU-05290,R Económico,Deportes,Outdoor,Sony,624.14,325.4,256,descontinuado,2024-12-21
98,SKU-88044,Unas Estado,Moda,Accesorios,Genérica,100.92,50.29,106,descontinuado,2024-12-08
99,SKU-38798,Crisis Últimos,Deportes,Accesorios,Nike,792.01,443.38,88,inactivo,2024-06-27
100,SKU-28326,Ahora Sabía,Oficina,Mobiliario,Adidas,536.6,386.46,135,descontinuado,2026-02-25
101,SKU-83811,Dinero Ha,Moda,Ropa,Xiaomi,424.28,235.25,152,inactivo,2024-06-18
102,SKU-21447,Apenas Pasar,Hogar,Muebles,Genérica,737.59,455.78,286,descontinuado,2024-12-29
103,SKU-97699,Que Capaz,Deportes,Outdoor,LG,863.63,552.82,202,inactivo,2026-02-06
104,SKU-68384,Valores Varias,Hogar,Decoración,Samsung,437.14,305.98,177,inactivo,2025-03-02
105,SKU-16212,Sólo Mil,Deportes,Accesorios,Nike,327.27,242.11,138,descontinuado,2024-11-25
106,SKU-76566,Días Ideas,Deportes,Fitness,LG,926.59,607.28,124,activo,2024-09-07
107,SKU-89951,Están Resultado,Oficina,Papelería,Whirlpool,355.39,172.39,169,descontinuado,2024-07-28
108,SKU-12980,Desde Paciente,Moda,Ropa,Whirlpool,1157.98,523.19,281,activo,2024-08-25
109,SKU-87310,Alto Poco,Moda,Accesorios,Nike,720.35,374.44,147,inactivo,2025-03-27
110,SKU-64849,Elecciones Sistemas,Deportes,Accesorios,Samsung,1362.64,655.85,293,activo,2025-07-05
111,SKU-83952,Voz Estado,Oficina,Tecnología,Genérica,1276.7,591.18,89,inactivo,2024-04-16
112,SKU-90657,Habla Siendo,Hogar,Cocina,Ikea,1183.64,609.82,148,activo,2025-03-10
113,SKU-19292,Cuando Aquí,Electrónica,Computación,Mabe,907.35,703.16,171,inactivo,2024-05-03
114,SKU-88466,Superior Don,Moda,Accesorios,Adidas,790.28,601.59,68,descontinuado,2024-10-13
115,SKU-88343,Llevar Julio,Moda,Calzado,Xiaomi,1214.75,687.23,234,descontinuado,2026-03-09
116,SKU-18689,Lo José,Deportes,Accesorios,Sony,29.01,16.48,151,descontinuado,2025-02-06
117,SKU-96742,Miedo Puso,Hogar,Cocina,Mabe,1285.37,981.98,218,descontinuado,2025-04-25
118,SKU-21025,Juan Otras,Deportes,Fitness,Ikea,1006.53,518.03,71,inactivo,2025-08-01
119,SKU-14544,Ocasiones Instituto,Deportes,Fitness,Samsung,397.09,211.42,136,inactivo,2025-08-16
120,SKU-88625,Dicho Cuadro,Deportes,Accesorios,Genérica,862.73,467.21,184,descontinuado,2025-06-29
121,SKU-15430,Pudo Buena,Hogar,Cocina,Whirlpool,184.39,102.78,207,descontinuado,2025-08-25
122,SKU-71397,Me Viaje,Oficina,Tecnología,HP,1037.91,699.08,151,inactivo,2025-01-11
123,SKU-05407,Aire Casa,Oficina,Papelería,Xiaomi,1436.38,886.77,232,descontinuado,2024-11-06
124,SKU-68073,Seguir Fuera,Oficina,Mobiliario,Ikea,1055.3,812.03,275,descontinuado,2024-07-31
125,SKU-96303,Sistemas Él,Hogar,Cocina,Whirlpool,1134.07,856.9,41,descontinuado,2026-03-30
126,SKU-85368,Llegar Organización,Moda,Accesorios,Genérica,547.78,422.36,57,activo,2025-12-30
127,SKU-52668,R Personas,Oficina,Tecnología,Xiaomi,862.47,433.35,167,descontinuado,2025-12-26
128,SKU-65067,Aquellas Unas,Moda,Ropa,Whirlpool,314.46,205.69,46,descontinuado,2024-05-27
129,SKU-27749,Ciudad Respuesta,Moda,Ropa,Nike,204.86,121.97,288,activo,2025-03-16
130,SKU-78859,Seguro Cuyo,Oficina,Mobiliario,Whirlpool,1211.92,852.16,202,inactivo,2025-03-22
131,SKU-49697,Fueron Diversos,Electrónica,Telefonía,Xiaomi,870.84,405.68,176,descontinuado,2025-05-27
132,SKU-33248,Millones Difícil,Electrónica,Telefonía,Samsung,1402.4,664.96,241,activo,2026-03-09
133,SKU-50929,Asimismo Económico,Deportes,Outdoor,Sony,1155.31,829.56,215,inactivo,2025-12-24
134,SKU-93657,Lado Vía,Moda,Calzado,Ikea,568.46,391.64,276,activo,2024-10-08
135,SKU-63541,Temas Según,Deportes,Fitness,Sony,1489.33,875.09,65,descontinuado,2024-12-09
136,SKU-12812,N Estilo,Hogar,Cocina,Samsung,1467.91,898.44,278,inactivo,2025-03-30
137,SKU-13893,Cuarto Manuel,Oficina,Mobiliario,Xiaomi,377.29,215.49,141,activo,2025-07-09
138,SKU-26442,Puede Que,Electrónica,Audio,Whirlpool,633.51,454.94,8,activo,2024-11-03
139,SKU-08991,Escuela Arriba,Hogar,Cocina,LG,894.16,542.09,24,activo,2025-08-02
140,SKU-66069,Resulta Memoria,Electrónica,Computación,Nike,357.63,188.13,28,activo,2025-07-19
141,SKU-64639,Hijos Plazo,Oficina,Mobiliario,Xiaomi,1225.15,864.99,163,descontinuado,2024-07-03
142,SKU-39983,Hablar Educación,Oficina,Tecnología,Lenovo,361.46,273.51,266,activo,2024-06-28
143,SKU-37826,Sangre Programa,Moda,Calzado,HP,98.95,77.38,89,descontinuado,2025-02-21
144,SKU-70420,Calidad Mirada,Moda,Accesorios,Nike,77.95,44.47,195,descontinuado,2025-04-25
145,SKU-89221,Respuesta Político,Deportes,Accesorios,Ikea,617.12,342.48,94,descontinuado,2025-05-11
146,SKU-56208,Tuvo Hombres,Moda,Ropa,Xiaomi,456.7,318.62,237,activo,2024-11-29
147,SKU-71132,Luego Hombres,Oficina,Mobiliario,Ikea,839.47,417.16,124,inactivo,2024-06-20
148,SKU-22169,Carácter Otro,Hogar,Decoración,Whirlpool,125.97,76.52,189,activo,2024-09-08
149,SKU-66420,Por Hermano,Oficina,Tecnología,Xiaomi,84.89,49.41,20,activo,2025-04-03
150,SKU-30330,Idea Fuerte,Hogar,Muebles,Genérica,1009.8,531.11,106,inactivo,2025-09-04
151,SKU-89156,Palabras G,Deportes,Fitness,Xiaomi,1406.24,1106.33,60,descontinuado,2026-02-10
152,SKU-40707,Presidente América,Moda,Ropa,Genérica,909.77,474.52,122,descontinuado,2025-01-12
153,SKU-81422,Pacientes Alta,Deportes,Outdoor,Ikea,703.65,476.41,157,inactivo,2026-01-21
154,SKU-60086,Mucha Él,Deportes,Accesorios,Nike,703.28,514.09,240,inactivo,2024-06-20
155,SKU-90165,Miedo Decir,Hogar,Decoración,Lenovo,625.58,404.68,113,descontinuado,2025-12-22
156,SKU-85479,Especial Lejos,Hogar,Cocina,HP,833.54,545.48,213,inactivo,2025-06-10
157,SKU-56745,Cabeza Ideas,Hogar,Cocina,Lenovo,351.19,228.07,125,inactivo,2026-02-12
158,SKU-50430,Niño Técnica,Oficina,Tecnología,Whirlpool,511.65,366.94,250,descontinuado,2025-06-20
159,SKU-30875,B Fuentes,Moda,Calzado,Sony,1101.3,631.33,71,descontinuado,2025-06-15
160,SKU-49526,Estar Gracias,Oficina,Mobiliario,Sony,1376.01,880.3,30,descontinuado,2024-05-16
161,SKU-64915,Actividades Ocasiones,Electrónica,Audio,Whirlpool,80.38,36.35,70,descontinuado,2025-10-04
162,SKU-93613,Pudo Sea,Hogar,Cocina,Genérica,233.34,122.87,233,inactivo,2026-01-05
163,SKU-25422,Se Primer,Electrónica,Telefonía,Whirlpool,1002.8,667.65,247,descontinuado,2024-06-10
164,SKU-94480,Militar Partes,Moda,Ropa,Samsung,802.06,476.4,8,descontinuado,2026-02-15
165,SKU-29371,Otras Administración,Deportes,Accesorios,HP,33.58,24.67,220,activo,2024-06-20
166,SKU-48695,Mundial Me,Electrónica,Audio,Adidas,230.16,119.03,269,inactivo,2024-07-05
167,SKU-27111,Fútbol Para,Deportes,Outdoor,Ikea,125.9,98.93,235,descontinuado,2024-11-03
168,SKU-98592,Llegado Régimen,Hogar,Muebles,Xiaomi,455.56,337.03,41,descontinuado,2024-07-06
169,SKU-53456,Mucho Algo,Electrónica,Audio,Ikea,573.86,369.25,28,descontinuado,2024-07-18
170,SKU-15673,Visto Te,Electrónica,Telefonía,Sony,131.37,97.98,169,descontinuado,2024-07-10
171,SKU-73598,Análisis Incluso,Electrónica,Telefonía,Samsung,350.81,268.53,290,inactivo,2024-08-04
172,SKU-22039,Cara Ambiente,Deportes,Fitness,LG,1029.17,564.12,278,descontinuado,2024-08-02
173,SKU-17169,Estar Modo,Electrónica,Audio,Lenovo,31.36,16.39,73,descontinuado,2025-03-12
174,SKU-50171,América De,Moda,Ropa,HP,250.38,133.74,199,descontinuado,2025-04-01
175,SKU-74731,Puntos Allí,Oficina,Mobiliario,Ikea,1135.37,566.53,40,descontinuado,2026-01-23
176,SKU-24183,Precisamente Administración,Deportes,Fitness,LG,660.14,490.84,174,descontinuado,2026-02-16
177,SKU-86752,Ello Hospital,Oficina,Tecnología,Ikea,1453.63,820.18,139,inactivo,2024-10-31
178,SKU-20781,Desde Respecto,Moda,Ropa,Lenovo,833.13,484.38,95,descontinuado,2024-08-19
179,SKU-22830,Produce Local,Oficina,Tecnología,Ikea,135.86,90.55,126,descontinuado,2025-11-13
180,SKU-99668,Nadie Menor,Electrónica,Audio,HP,238.1,166.45,78,descontinuado,2024-07-31
181,SKU-63285,Ciento Paz,Moda,Calzado,Lenovo,166.97,75.44,157,inactivo,2024-06-24
182,SKU-88867,Sol Siempre,Deportes,Outdoor,LG,205.7,106.06,229,descontinuado,2024-04-08
183,SKU-35769,Solución Título,Oficina,Tecnología,Ikea,162.11,78.03,283,activo,2025-01-17
184,SKU-61850,Creación Sí,Oficina,Tecnología,Lenovo,1296.67,589.1,211,inactivo,2025-01-21
185,SKU-20021,Propios Había,Electrónica,Telefonía,Adidas,1358.57,1076.48,292,descontinuado,2025-08-16
186,SKU-54686,Haciendo Llegado,Hogar,Muebles,Ikea,260.9,141.96,137,inactivo,2024-08-12
187,SKU-41120,Según Nos,Hogar,Cocina,Sony,656.54,392.21,247,activo,2025-11-12
188,SKU-11804,Además Superior,Deportes,Outdoor,Xiaomi,1083.58,675.65,100,inactivo,2024-09-15
189,SKU-14187,Pone Llevar,Electrónica,Audio,HP,18.1,10.65,194,inactivo,2025-06-27
190,SKU-88530,Causa Somos,Moda,Calzado,Ikea,1224.69,919.53,69,inactivo,2025-10-30
191,SKU-86100,Nadie Al,Deportes,Accesorios,Genérica,307.67,172.28,203,inactivo,2026-02-10
192,SKU-81402,Mismo Queda,Deportes,Accesorios,Genérica,952.29,751.09,124,inactivo,2025-01-23
193,SKU-44752,Televisión Momento,Moda,Calzado,Ikea,552.6,428.94,102,descontinuado,2025-04-18
194,SKU-04374,Real Sociales,Oficina,Papelería,Whirlpool,1153.29,529.85,236,descontinuado,2024-05-27
195,SKU-28704,Posibilidad Vivir,Hogar,Decoración,HP,1248.27,591.94,209,descontinuado,2026-03-26
196,SKU-01334,Pequeña Podía,Moda,Ropa,Whirlpool,459.83,247.59,78,descontinuado,2026-01-27
197,SKU-91690,Estos Nunca,Moda,Calzado,LG,678.01,447.0,298,inactivo,2025-05-06
198,SKU-81961,Mejores Presencia,Oficina,Tecnología,Genérica,632.1,292.58,184,descontinuado,2025-03-18
199,SKU-48416,Conjunto También,Oficina,Tecnología,Whirlpool,1372.29,670.06,127,descontinuado,2024-09-14
200,SKU-59443,Actividad Crisis,Deportes,Fitness,Whirlpool,922.12,596.73,204,inactivo,2025-09-01
